Date;Returning.Visits
12/21/2019;157
12/22/2019;221
12/23/2019;296
12/24/2019;220
12/25/2019;176
12/26/2019;253
12/27/2019;210
12/28/2019;200
12/29/2019;188
12/30/2019;283
12/31/2019;187
