AQI;CO;no2;o3;pm10;pm25;so2;ts
21;195.26482;0.01405715;42.20009;15.138015;4.9980516;0.5811453;1666940400
20;196.93375;0.014391844;42.915344;16.28845;4.864552;0.5662441;1666944000
20;196.93375;0.015061232;43.272972;17.378443;4.786282;0.55134296;1666947600
20;196.93375;0.016232662;43.272972;17.352522;4.5245633;0.5289912;1666951200
20;196.93375;0.018073479;43.272972;16.273401;4.145292;0.51409006;1666954800
20;195.26482;0.021755114;42.915344;15.661343;3.884781;0.5066395;1666958400
20;191.92696;0.027779605;42.557716;15.954962;3.8312757;0.52154064;1666962000
20;191.92696;0.03146124;42.915344;15.4823675;3.945007;0.55879354;1666965600
20;191.92696;0.034473486;43.6306;15.226395;4.3899884;0.59604645;1666969200
21;191.92696;0.03715104;45.06111;15.767153;4.9306026;0.63329935;1666972800
23;191.92696;0.03882451;45.41874;16.788809;5.4852204;0.6482005;1666976400
23;193.59589;0.040163286;45.776367;17.99812;5.6443706;0.6482005;1666980000
23;195.26482;0.041167367;46.491623;17.905016;5.4328313;0.64074993;1666983600
22;195.26482;0.041167367;47.20688;17.214108;4.857251;0.62584877;1666987200
22;195.26482;0.04049798;47.20688;16.881731;4.4073687;0.603497;1666990800
22;195.26482;0.040163286;47.20688;16.972225;4.1472836;0.5811453;1666994400
22;193.59589;0.03982859;47.20688;16.3047;3.9461172;0.55879354;1666998000
22;193.59589;0.03982859;47.922134;15.799121;3.906654;0.55134296;1667001600
22;193.59589;0.041836757;48.63739;16.041315;4.030839;0.5438924;1667005200
23;195.26482;0.038155124;50.0679;17.070381;4.1244802;0.5364418;1667008800
23;195.26482;0.035142876;50.783157;17.761194;3.9967327;0.52154064;1667012400
24;193.59589;0.030457158;51.498413;18.177206;3.711721;0.49173832;1667016000
24;193.59589;0.025102053;51.498413;18.361753;3.4287376;0.4582107;1667019600
24;193.59589;0.021755114;51.498413;17.730545;3.3791013;0.43958426;1667023200
23;191.92696;0.02024899;50.783157;17.090158;3.436726;0.42840838;1667026800
23;191.92696;0.019914296;50.783157;16.89267;3.5871444;0.42840838;1667030400
23;191.92696;0.02024899;50.0679;16.542408;3.7025998;0.43213367;1667034000
23;191.92696;0.021085724;49.352646;15.694248;3.788522;0.43213367;1667037600
22;190.25803;0.023428584;48.63739;15.322977;4.001634;0.45076013;1667041200
23;190.25803;0.029453076;49.352646;14.866371;4.1287384;0.47311187;1667044800
23;191.92696;0.040163286;50.0679;14.62416;4.237622;0.49173832;1667048400
